uid,lpips_diff
Utryriuz,0.17171534895896912
GtnC3B4Z,0.6633113622665405
jXqaz6bi,0.4457753002643585
JNMvvKOF,0.5178112983703613
OBj_dn-R,0.3730066120624542
IF9c6bCF,0.46400079131126404
A2X9Fi8t,0.1404847502708435
33u9jppt,0.6226211190223694
lk4CEW8e,0.607999324798584
81alOxe3,0.20392106473445892
RauNp-sy,0.43384459614753723
zUxaRHw1,0.5278735756874084
M8VK-qDq,0.5256159901618958
pSn4SX_U,0.18832653760910034
POjMQxjN,0.3863009512424469
4sbjHptJ,0.3088579475879669
8UFlYi6q,0.47185057401657104
bR3RD7fR,0.5460538864135742
pJ8C29K7,0.4656652808189392
mdZvKUkl,0.39006316661834717
Cnki0x93,0.47722119092941284
fOSi1otu,0.3826342225074768
1m5kPz2d,0.5610381364822388
4HmTpiRM,0.4032089114189148
4wifpB9O,0.2460276037454605
V08pkhFW,0.44909700751304626
ogsuTqKj,0.5643316507339478
MlbeNF-9,0.4940919280052185
qbfA28Hp,0.48817092180252075
fHL_Y-DV,0.46126478910446167
_8PTgW-C,0.4086996912956238
AlrTIn-e,0.3652149736881256
tj4l4v0J,0.28091734647750854
9ttZuQ_1,0.5833461284637451
S04mOFPp,0.6289147138595581
Njm9iutx,0.33960944414138794
IQanLiMZ,0.6003373861312866
gmETk0jN,0.2767747938632965
qLDsjkCz,0.4090912342071533
r1ZGuS6n,0.4146347939968109
pqKceVp1,0.5242564678192139
WLBhx1y4,0.5130621194839478
MIEBKNG-,0.41156208515167236
UD3WGTnw,0.3922036290168762
VNteL312,0.5142275094985962
1u0rmacR,0.40387147665023804
5FiGa2Cf,0.4160129427909851
ZErbVuBL,0.5458842515945435
3y51ugev,0.5942662954330444
u3DU9wiT,0.20522937178611755
Bz7LJaJB,0.505273163318634
6BRriP3C,0.19981345534324646
iGAV4pK9,0.4781601130962372
p-3p-3up,0.20778636634349823
SZ4SXztN,0.4717601537704468
dArRdeEk,0.16714243590831757
2hVnOLB4,0.2960315942764282
j7DsYQWC,0.3489466905593872
1rmTbv4p,0.2897213399410248
iwCVzBqe,0.288432240486145
VbEeVJ1w,0.4386513829231262
sgkys9a4,0.5132882595062256
hIdjTzOP,0.6400390267372131
QApRKGh-,0.5150790214538574
D-pCJF0g,0.5781125426292419
gMFtKKn2,0.3439759314060211
B8DrPlaD,0.3855096101760864
WxpnXtdL,0.45468735694885254
pAUCqJxg,0.5405401587486267
mK4XxG5P,0.6141229271888733
XHuKsUAf,0.4744090735912323
Hw8JPUgS,0.631079375743866
s1JZ4Z5Y,0.34371331334114075
358F1DnU,0.24685917794704437
5ukT1Iak,0.44498565793037415
iNPsHKDL,0.5930693745613098
mkiag-4c,0.4029577672481537
rL9Yfg94,0.41927090287208557
T3m6AxCB,0.4727970063686371
Cznav1VD,0.3646390736103058
T5ydNFST,0.444446861743927
CqBnOXp2,0.5339213013648987
vR2yELQG,0.31636276841163635
EBIhvlYT,0.5088965892791748
owKHDtTr,0.4835302233695984
zaQ3pGg3,0.3743884265422821
Lisjkeui,0.5072223544120789
wD9jncSx,0.38806167244911194
lqynatmm,0.59857577085495
rybXS3ms,0.37927088141441345
8sfu6ZFM,0.5327935814857483
q8yFQHdw,0.5979846715927124
LDIJo-60,0.4340311288833618
W1f7f3Ad,0.3166577219963074
HHNH592d,0.4776851534843445
tTJ2XWJZ,0.4168754816055298
fxbZtlzt,0.5472365617752075
AuJBqXx6,0.32741352915763855
NvJ17C83,0.5513560175895691
ZfEgviKZ,0.43390536308288574
y1wj0q-W,0.5074633955955505
O3Me25xH,0.3803715109825134
b-QYlTdl,0.28602731227874756
Daw__JBJ,0.3871919512748718
vBB5ruVQ,0.2666088342666626
N0Zg0oRp,0.41249847412109375
V8cTyd31,0.5104333162307739
dEh3H2FR,0.33083662390708923
stC7VfKh,0.5888938307762146
FQQZHi88,0.5222273468971252
Gk8Cn7IC,0.6410677433013916
M3q-GCj9,0.4902244806289673
WOzFaEBr,0.2812342047691345
SupERnlt,0.422892302274704
RVDGLcPs,0.4923187494277954
dTBo4ZhE,0.4504567086696625
M6P7nZGA,0.2968158423900604
Vi6-bwLr,0.2770536541938782
I41kxFWL,0.6347621083259583
PKuhO7n3,0.4082578122615814
2dUENTso,0.4906023442745209
_2ePr4yL,0.4412061274051666
zKQeN89-,0.2486197054386139
lhzrBws8,0.5746809244155884
QAFARY4c,0.4790267050266266
SO_0kB15,0.6429693698883057
sdQZA1cz,0.6350365877151489
rwP3m19L,0.6180950999259949
KNcpCakl,0.4075922966003418
jmShyLyt,0.4457659125328064
b3Lsi1nv,0.38333407044410706
hDwcgR5g,0.48085489869117737
wClLizz0,0.35406798124313354
VJGenx06,0.3061629831790924
H0d0FkrK,0.46866708993911743
fnY__ZBY,0.45251280069351196
-oHV_--5,0.4863449037075043
yudd_RLD,0.3599669337272644
t_Rc4s4J,0.29913413524627686
S3Z2P_lI,0.4678526222705841
ZJfN0ZF3,0.3367685377597809
CsedYiOE,0.29796889424324036
IC6o1faE,0.5457610487937927
oGoMmF7G,0.42565226554870605
coKsZbfb,0.5888198614120483
8R6Plm0P,0.3811432123184204
E1Pj0ZZc,0.5492120385169983
KUSaUQAE,0.6015180349349976
cfE3dXd6,0.5928420424461365
ez1ByeGL,0.4673253297805786
cjIJ-Kno,0.22147637605667114
K7obRi0f,0.4526374042034149
oEyPuq8W,0.29701700806617737
pIvNS1co,0.2319524586200714
w8rUSqaN,0.5040802955627441
2zodXi4U,0.33320778608322144
j7mc70fk,0.4371953010559082
GTXcrvVp,0.43234550952911377
LDK2scxq,0.5396058559417725
UKBEdpZO,0.5406349897384644
Ca3ou-6q,0.3945332467556
r65eAN9V,0.4398510456085205
74YjFtN2,0.3628646731376648
NtY7EGPP,0.45561546087265015
zsr6cqJh,0.2330780029296875
5fahVChb,0.46431422233581543
GOYjQX56,0.37401774525642395
6Gxlofsq,0.5956553220748901
8pBmwffN,0.3953017592430115
_xCjfQ_c,0.36830997467041016
Lv36ewnO,0.46940773725509644
-sDr7Llk,0.18243853747844696
dMMTrU1c,0.5801481008529663
P65WeRzS,0.23097100853919983
Dqng6Pfr,0.35527053475379944
qxr47Ktv,0.5278902053833008
m4hory-E,0.23589202761650085
Fucy3I8f,0.5060689449310303
b576qi9e,0.3822900056838989
97H2VzDW,0.4713604748249054
8BR-7Qv8,0.5403622388839722
yehVXIaI,0.36709028482437134
gJYDuRcX,0.5713477730751038
HdSDEKNK,0.4008544087409973
TC_X6fv7,0.41043445467948914
y69od873,0.389499306678772
zRKHo3Ig,0.38535720109939575
H7c6kQOZ,0.6045194864273071
oY3wYQle,0.5069802403450012
ECdbFbr7,0.40964430570602417
77S-mkV2,0.5825405716896057
JQsIB-UR,0.2999211549758911
5XgaWlyg,0.1518343985080719
m1ILuA9p,0.24191169440746307
lYFwZmo2,0.06202501431107521
tE1_8sBu,0.26521193981170654
o6jB1Jot,0.3565017879009247
melr2QQY,0.2614336907863617
QYhpzdBA,0.40300601720809937
V2vtpq9U,0.4542045295238495
Ar_Gmk0q,0.26916587352752686
HKX62O-e,0.5993531346321106
V6yvu2PJ,0.3247343897819519
kxJGDnEP,0.523532509803772
99hF5Rmz,0.3423019349575043
