uid,max_diff
BMDYrkLI,69.23662567138672
dp4QT6tN,71.03018188476562
Kio8Aywb,71.73442840576172
Xyzh6M2b,65.59487915039062
z-J_Yr-I,67.2944107055664
enqGq6t3,71.79380798339844
pFK-XPyH,72.8415298461914
s0DHxG91,76.79638671875
zX1AaPg4,74.47161102294922
jcATsESe,72.09036254882812
xWRuzj6D,66.15357208251953
3AKZlvTo,73.87043762207031
iKTbfi4y,67.46595764160156
GW86QjWK,76.28939819335938
PT9vVUoj,74.88652801513672
7W2XsJMW,73.11198425292969
pmxow9tB,78.12065887451172
PiNs9RkW,73.74559020996094
0FASlVTf,64.91191101074219
Utryriuz,69.8268051147461
GtnC3B4Z,76.97010803222656
jXqaz6bi,68.65962219238281
JNMvvKOF,76.0683364868164
OBj_dn-R,73.15742492675781
IF9c6bCF,75.16673278808594
A2X9Fi8t,73.48005676269531
33u9jppt,77.49010467529297
lk4CEW8e,78.91204071044922
81alOxe3,71.54386901855469
RauNp-sy,78.5330810546875
zUxaRHw1,73.99504089355469
M8VK-qDq,70.95384216308594
pSn4SX_U,78.3886489868164
POjMQxjN,66.57169342041016
4sbjHptJ,68.91069030761719
8UFlYi6q,75.81522369384766
bR3RD7fR,73.11447143554688
pJ8C29K7,72.67340850830078
mdZvKUkl,64.99710845947266
Cnki0x93,70.40036010742188
fOSi1otu,64.35330200195312
1m5kPz2d,73.96928405761719
4HmTpiRM,72.19117736816406
4wifpB9O,76.74828338623047
V08pkhFW,61.198204040527344
ogsuTqKj,66.14598846435547
MlbeNF-9,70.59036254882812
qbfA28Hp,68.49638366699219
fHL_Y-DV,65.74797058105469
_8PTgW-C,75.23479461669922
AlrTIn-e,74.66586303710938
tj4l4v0J,76.02465057373047
9ttZuQ_1,72.70018005371094
S04mOFPp,74.3699722290039
Njm9iutx,73.07067108154297
IQanLiMZ,73.7999038696289
gmETk0jN,78.87808990478516
qLDsjkCz,76.1083984375
r1ZGuS6n,78.63638305664062
pqKceVp1,69.38671112060547
WLBhx1y4,70.82628631591797
MIEBKNG-,74.6375732421875
UD3WGTnw,66.63465881347656
VNteL312,78.02143859863281
1u0rmacR,69.50404357910156
5FiGa2Cf,76.21958923339844
ZErbVuBL,76.6260986328125
3y51ugev,71.9190673828125
u3DU9wiT,68.02857208251953
Bz7LJaJB,78.42276000976562
6BRriP3C,61.1160888671875
iGAV4pK9,68.03125762939453
p-3p-3up,72.91142272949219
SZ4SXztN,76.31462097167969
dArRdeEk,73.2087173461914
2hVnOLB4,73.13404846191406
j7DsYQWC,73.48783874511719
1rmTbv4p,76.59832000732422
iwCVzBqe,81.61082458496094
VbEeVJ1w,79.3029556274414
sgkys9a4,68.9068374633789
hIdjTzOP,71.56504821777344
QApRKGh-,77.56806945800781
D-pCJF0g,67.5788803100586
gMFtKKn2,75.68260955810547
